repo,repo_url,contributor,contributions,profile_url
OptimalScale/LMFlow,https://github.com/OptimalScale/LMFlow,research4pan,440,https://github.com/research4pan
OptimalScale/LMFlow,https://github.com/OptimalScale/LMFlow,wheresmyhair,298,https://github.com/wheresmyhair
OptimalScale/LMFlow,https://github.com/OptimalScale/LMFlow,shizhediao,181,https://github.com/shizhediao
OptimalScale/LMFlow,https://github.com/OptimalScale/LMFlow,hendrydong,176,https://github.com/hendrydong
OptimalScale/LMFlow,https://github.com/OptimalScale/LMFlow,yaoguany,88,https://github.com/yaoguany
h2oai/h2ogpt,https://github.com/h2oai/h2ogpt,pseudotensor,6451,https://github.com/pseudotensor
h2oai/h2ogpt,https://github.com/h2oai/h2ogpt,arnocandel,831,https://github.com/arnocandel
h2oai/h2ogpt,https://github.com/h2oai/h2ogpt,achraf-mer,173,https://github.com/achraf-mer
h2oai/h2ogpt,https://github.com/h2oai/h2ogpt,tloen,84,https://github.com/tloen
h2oai/h2ogpt,https://github.com/h2oai/h2ogpt,fatihozturkh2o,60,https://github.com/fatihozturkh2o
shlomota/MishnahBot,https://github.com/shlomota/MishnahBot,shlomota,10,https://github.com/shlomota
alfredcs/cavatar,https://github.com/alfredcs/cavatar,alfredcs,118,https://github.com/alfredcs
filip-michalsky/SalesGPT,https://github.com/filip-michalsky/SalesGPT,filip-michalsky,173,https://github.com/filip-michalsky
filip-michalsky/SalesGPT,https://github.com/filip-michalsky/SalesGPT,chemik-bit,157,https://github.com/chemik-bit
filip-michalsky/SalesGPT,https://github.com/filip-michalsky/SalesGPT,iljamak,20,https://github.com/iljamak
filip-michalsky/SalesGPT,https://github.com/filip-michalsky/SalesGPT,nickturner922,8,https://github.com/nickturner922
filip-michalsky/SalesGPT,https://github.com/filip-michalsky/SalesGPT,ishaan-jaff,7,https://github.com/ishaan-jaff
